,group,Pig,Tissue,Day,Treatment,Genus,value,All,value2,percent_tot
3799,SRD129_P169_N_D0,169,N,0,Control,Agathobacter,0.000965804,0_Control,0.00965804,0.096580399
3800,SRD129_P169_N_D1,169,N,1,Control,Agathobacter,0.000492761,1_Control,0.004927611,0.04927611
3801,SRD129_P169_N_D10,169,N,10,Control,Agathobacter,0.000574526,10_Control,0.005745255,0.057452554
3802,SRD129_P169_N_D14,169,N,14,Control,Agathobacter,0.000309829,14_Control,0.003098293,0.030982934
3803,SRD129_P169_N_D21,169,N,21,Control,Agathobacter,0.001991285,21_Control,0.019912845,0.199128452
3804,SRD129_P169_N_D3,169,N,3,Control,Agathobacter,0.003802142,3_Control,0.038021424,0.380214236
3805,SRD129_P169_N_D36,169,N,36,Control,Agathobacter,3.95E-05,36_Control,0.000394555,0.003945551
3806,SRD129_P169_N_D42,169,N,42,Control,Agathobacter,0.00010751,42_Control,0.001075095,0.010750954
3807,SRD129_P169_N_D7,169,N,7,Control,Agathobacter,0.000401371,7_Control,0.004013708,0.040137084
3808,SRD129_P170_N_D0,170,N,0,Control,Agathobacter,0.002093499,0_Control,0.020934989,0.209349888
3809,SRD129_P170_N_D1,170,N,1,Control,Agathobacter,0.000277809,1_Control,0.002778086,0.027780865
3810,SRD129_P170_N_D10,170,N,10,Control,Agathobacter,0.000692139,10_Control,0.006921391,0.069213909
3811,SRD129_P170_N_D14,170,N,14,Control,Agathobacter,0.002309053,14_Control,0.023090533,0.230905329
3812,SRD129_P170_N_D21,170,N,21,Control,Agathobacter,0.00225054,21_Control,0.022505398,0.225053983
3813,SRD129_P170_N_D3,170,N,3,Control,Agathobacter,0.008436804,3_Control,0.084368036,0.843680357
3814,SRD129_P170_N_D36,170,N,36,Control,Agathobacter,3.29E-05,36_Control,0.000329468,0.003294676
3815,SRD129_P170_N_D42,170,N,42,Control,Agathobacter,0.000712579,42_Control,0.007125791,0.071257912
3816,SRD129_P170_N_D7,170,N,7,Control,Agathobacter,0.001467483,7_Control,0.014674827,0.146748273
3817,SRD129_P171_N_D0,171,N,0,Control,Agathobacter,0.000841008,0_Control,0.008410075,0.084100753
3818,SRD129_P171_N_D1,171,N,1,Control,Agathobacter,0.000155452,1_Control,0.001554519,0.015545192
3819,SRD129_P171_N_D10,171,N,10,Control,Agathobacter,0.000893263,10_Control,0.008932632,0.089326317
3820,SRD129_P171_N_D14,171,N,14,Control,Agathobacter,0.003044588,14_Control,0.030445885,0.304458849
3821,SRD129_P171_N_D21,171,N,21,Control,Agathobacter,0.002072985,21_Control,0.020729847,0.207298471
3822,SRD129_P171_N_D3,171,N,3,Control,Agathobacter,0.004628444,3_Control,0.046284443,0.462844425
3823,SRD129_P171_N_D36,171,N,36,Control,Agathobacter,0.000383391,36_Control,0.003833915,0.038339148
3824,SRD129_P171_N_D42,171,N,42,Control,Agathobacter,0.000172271,42_Control,0.001722712,0.017227122
3825,SRD129_P171_N_D7,171,N,7,Control,Agathobacter,0.001056866,7_Control,0.010568662,0.105686622
3826,SRD129_P152_N_D0,152,N,0,IAV,uncultured,0.000110053,0_IAV,0.001572191,0.011005338
3827,SRD129_P152_N_D1,152,N,1,IAV,uncultured,0.000507906,1_IAV,0.007255806,0.050790641
3828,SRD129_P152_N_D10,152,N,10,IAV,uncultured,0.000728067,10_IAV,0.010400957,0.072806698
3829,SRD129_P152_N_D14,152,N,14,IAV,uncultured,0.01122282,14_IAV,0.160325996,1.122281973
3830,SRD129_P152_N_D21,152,N,21,IAV,uncultured,0.002487923,21_IAV,0.03554176,0.248792321
3831,SRD129_P152_N_D3,152,N,3,IAV,uncultured,0.000430308,3_IAV,0.006147258,0.043030803
3832,SRD129_P152_N_D36,152,N,36,IAV,uncultured,0.002299346,36_IAV,0.032847802,0.229934612
3833,SRD129_P152_N_D42,152,N,42,IAV,uncultured,0.003679326,42_IAV,0.052561804,0.367932627
3834,SRD129_P152_N_D7,152,N,7,IAV,uncultured,0.000117037,7_IAV,0.001671952,0.011703663
3835,SRD129_P153_N_D0,153,N,0,IAV,uncultured,0.000349974,0_IAV,0.004999625,0.034997375
3836,SRD129_P153_N_D1,153,N,1,IAV,uncultured,0.000419664,1_IAV,0.005995204,0.041966427
3837,SRD129_P153_N_D10,153,N,10,IAV,uncultured,0.001303572,10_IAV,0.018622461,0.130357225
3838,SRD129_P153_N_D14,153,N,14,IAV,uncultured,0.001394561,14_IAV,0.019922303,0.139456121
3839,SRD129_P153_N_D21,153,N,21,IAV,uncultured,0.00187195,21_IAV,0.026742139,0.187194972
3840,SRD129_P153_N_D3,153,N,3,IAV,uncultured,0.000465671,3_IAV,0.006652447,0.046567129
3841,SRD129_P153_N_D36,153,N,36,IAV,uncultured,0.001064169,36_IAV,0.01520242,0.106416942
3842,SRD129_P153_N_D42,153,N,42,IAV,uncultured,0.000542954,42_IAV,0.007756481,0.054295367
3843,SRD129_P153_N_D7,153,N,7,IAV,uncultured,0.000128545,7_IAV,0.001836352,0.012854462
3844,SRD129_P154_N_D0,154,N,0,IAV,uncultured,0.000102514,0_IAV,0.001464488,0.010251416
3845,SRD129_P154_N_D1,154,N,1,IAV,uncultured,0.001072777,1_IAV,0.015325389,0.107277721
3846,SRD129_P154_N_D10,154,N,10,IAV,uncultured,0.004451649,10_IAV,0.063594983,0.44516488
3847,SRD129_P154_N_D14,154,N,14,IAV,uncultured,0.001434331,14_IAV,0.020490441,0.14343309
3848,SRD129_P154_N_D21,154,N,21,IAV,uncultured,0.004336271,21_IAV,0.061946726,0.433627081
3849,SRD129_P154_N_D3,154,N,3,IAV,uncultured,0.001627985,3_IAV,0.023256923,0.162798464
3850,SRD129_P154_N_D36,154,N,36,IAV,uncultured,0.005726246,36_IAV,0.081803514,0.572624595
3851,SRD129_P154_N_D42,154,N,42,IAV,uncultured,0.00151864,42_IAV,0.021694858,0.151864008
3852,SRD129_P154_N_D7,154,N,7,IAV,uncultured,0.000274826,7_IAV,0.003926085,0.027482594
3853,SRD129_P156_N_D0,156,N,0,IAV,uncultured,0.000263664,0_IAV,0.003766634,0.026366441
3854,SRD129_P156_N_D1,156,N,1,IAV,uncultured,0.000519076,1_IAV,0.007415372,0.051907604
3855,SRD129_P156_N_D10,156,N,10,IAV,uncultured,0.000329099,10_IAV,0.004701413,0.032909893
3856,SRD129_P156_N_D14,156,N,14,IAV,uncultured,0.002455662,14_IAV,0.035080881,0.245566166
3857,SRD129_P156_N_D21,156,N,21,IAV,uncultured,0.003227908,21_IAV,0.046112969,0.322790786
3858,SRD129_P156_N_D3,156,N,3,IAV,uncultured,0.00058626,3_IAV,0.008375146,0.058626019
3859,SRD129_P156_N_D36,156,N,36,IAV,uncultured,0.001120835,36_IAV,0.016011923,0.112083459
3860,SRD129_P156_N_D42,156,N,42,IAV,uncultured,0.000296217,42_IAV,0.004231676,0.029621731
3861,SRD129_P156_N_D7,156,N,7,IAV,uncultured,2.60E-05,7_IAV,0.000371791,0.00260254
3862,SRD129_P157_N_D0,157,N,0,IAV,uncultured,0.000133485,0_IAV,0.001906923,0.013348462
3863,SRD129_P157_N_D1,157,N,1,IAV,uncultured,0.000393526,1_IAV,0.005621807,0.039352649
3864,SRD129_P157_N_D10,157,N,10,IAV,uncultured,0.001333418,10_IAV,0.019048828,0.133341799
3865,SRD129_P157_N_D14,157,N,14,IAV,uncultured,0.003938327,14_IAV,0.056261821,0.393832747
3866,SRD129_P157_N_D21,157,N,21,IAV,uncultured,0.00246517,21_IAV,0.035216716,0.246517013
3867,SRD129_P157_N_D3,157,N,3,IAV,uncultured,0.002429092,3_IAV,0.034701314,0.242909195
3868,SRD129_P157_N_D36,157,N,36,IAV,uncultured,0.006921354,36_IAV,0.098876492,0.692135441
3869,SRD129_P157_N_D42,157,N,42,IAV,uncultured,0.001137694,42_IAV,0.016252779,0.11376945
3870,SRD129_P157_N_D7,157,N,7,IAV,uncultured,0.000160475,7_IAV,0.0022925,0.016047501
3871,SRD129_P159_N_D0,159,N,0,IAV,uncultured,0.000126727,0_IAV,0.001810381,0.012672665
3872,SRD129_P159_N_D1,159,N,1,IAV,uncultured,0.000205617,1_IAV,0.002937392,0.020561747
3873,SRD129_P159_N_D10,159,N,10,IAV,uncultured,0.001071639,10_IAV,0.01530913,0.107163907
3874,SRD129_P159_N_D14,159,N,14,IAV,uncultured,0.001537888,14_IAV,0.021969828,0.153788797
3875,SRD129_P159_N_D21,159,N,21,IAV,uncultured,0.003235672,21_IAV,0.046223888,0.323567218
3876,SRD129_P159_N_D3,159,N,3,IAV,uncultured,0.000290782,3_IAV,0.004154031,0.02907822
3877,SRD129_P159_N_D36,159,N,36,IAV,uncultured,0.003486169,36_IAV,0.049802414,0.3486169
3878,SRD129_P159_N_D42,159,N,42,IAV,uncultured,0.002018598,42_IAV,0.028837108,0.201859757
3879,SRD129_P159_N_D7,159,N,7,IAV,uncultured,0,7_IAV,0,0
3880,SRD129_P160_N_D0,160,N,0,IAV,uncultured,0.000243978,0_IAV,0.003485403,0.024397818
3881,SRD129_P160_N_D1,160,N,1,IAV,uncultured,0.001080426,1_IAV,0.015434655,0.108042585
3882,SRD129_P160_N_D10,160,N,10,IAV,uncultured,0.00210989,10_IAV,0.030141287,0.210989011
3883,SRD129_P160_N_D14,160,N,14,IAV,uncultured,0.008325709,14_IAV,0.118938701,0.832570906
3884,SRD129_P160_N_D21,160,N,21,IAV,uncultured,0.010384598,21_IAV,0.148351396,1.038459771
3885,SRD129_P160_N_D3,160,N,3,IAV,uncultured,0.000832093,3_IAV,0.011887046,0.083209319
3886,SRD129_P160_N_D36,160,N,36,IAV,uncultured,0.003904217,36_IAV,0.055774522,0.390421655
3887,SRD129_P160_N_D42,160,N,42,IAV,uncultured,0.000948148,42_IAV,0.013544974,0.094814815
3888,SRD129_P160_N_D7,160,N,7,IAV,uncultured,0.000407498,7_IAV,0.005821399,0.040749796
3889,SRD129_P162_N_D0,162,N,0,Control,uncultured,0.00176067,0_Control,0.017606703,0.176067027
3890,SRD129_P162_N_D1,162,N,1,Control,uncultured,0.002345146,1_Control,0.023451459,0.234514592
3891,SRD129_P162_N_D10,162,N,10,Control,uncultured,0.008252407,10_Control,0.08252407,0.825240695
3892,SRD129_P162_N_D14,162,N,14,Control,uncultured,0.003556139,14_Control,0.035561387,0.355613865
3893,SRD129_P162_N_D21,162,N,21,Control,uncultured,0.001714531,21_Control,0.017145306,0.171453065
3894,SRD129_P162_N_D3,162,N,3,Control,uncultured,0.013121048,3_Control,0.131210483,1.312104827
3895,SRD129_P162_N_D36,162,N,36,Control,uncultured,0.001229844,36_Control,0.012298442,0.122984422
3896,SRD129_P162_N_D42,162,N,42,Control,uncultured,6.05E-05,42_Control,0.000604522,0.006045218
3897,SRD129_P162_N_D7,162,N,7,Control,uncultured,0.003923492,7_Control,0.039234919,0.392349191
3898,SRD129_P163_N_D0,163,N,0,Control,uncultured,0.000243757,0_Control,0.002437571,0.024375711
3899,SRD129_P163_N_D1,163,N,1,Control,uncultured,0.001280265,1_Control,0.012802651,0.128026509
3900,SRD129_P163_N_D10,163,N,10,Control,uncultured,0.011251851,10_Control,0.112518506,1.125185063
3901,SRD129_P163_N_D14,163,N,14,Control,uncultured,0.003447525,14_Control,0.03447525,0.344752504
3902,SRD129_P163_N_D21,163,N,21,Control,uncultured,0.003403213,21_Control,0.034032126,0.340321263
3903,SRD129_P163_N_D3,163,N,3,Control,uncultured,0.005031378,3_Control,0.050313785,0.503137849
3904,SRD129_P163_N_D36,163,N,36,Control,uncultured,0.000607165,36_Control,0.006071645,0.060716454
3905,SRD129_P163_N_D42,163,N,42,Control,uncultured,0,42_Control,0,0
3906,SRD129_P163_N_D7,163,N,7,Control,uncultured,0.001894196,7_Control,0.018941956,0.189419564
3907,SRD129_P164_N_D0,164,N,0,Control,uncultured,0.000133298,0_Control,0.001332978,0.013329779
3908,SRD129_P164_N_D1,164,N,1,Control,uncultured,0.001062076,1_Control,0.010620755,0.106207552
3909,SRD129_P164_N_D10,164,N,10,Control,uncultured,0.005260082,10_Control,0.052600818,0.526008182
3910,SRD129_P164_N_D14,164,N,14,Control,uncultured,0.00420301,14_Control,0.042030099,0.42030099
3911,SRD129_P164_N_D21,164,N,21,Control,uncultured,0.002337541,21_Control,0.023375409,0.233754091
3912,SRD129_P164_N_D3,164,N,3,Control,uncultured,0.004651579,3_Control,0.046515789,0.465157885
3913,SRD129_P164_N_D36,164,N,36,Control,uncultured,0.000357185,36_Control,0.003571854,0.035718538
3914,SRD129_P164_N_D42,164,N,42,Control,uncultured,3.45E-05,42_Control,0.000344828,0.003448276
3915,SRD129_P164_N_D7,164,N,7,Control,uncultured,0.000259774,7_Control,0.00259774,0.0259774
3916,SRD129_P165_N_D0,165,N,0,Control,uncultured,0.000558805,0_Control,0.005588049,0.05588049
3917,SRD129_P165_N_D1,165,N,1,Control,uncultured,0.000578771,1_Control,0.005787707,0.057877069
3918,SRD129_P165_N_D10,165,N,10,Control,uncultured,0.002664064,10_Control,0.026640641,0.266406415
3919,SRD129_P165_N_D14,165,N,14,Control,uncultured,0.003265966,14_Control,0.03265966,0.326596605
3920,SRD129_P165_N_D21,165,N,21,Control,uncultured,0.000633683,21_Control,0.006336827,0.063368267
3921,SRD129_P165_N_D3,165,N,3,Control,uncultured,0.001459345,3_Control,0.014593446,0.145934456
3922,SRD129_P165_N_D36,165,N,36,Control,uncultured,9.53E-05,36_Control,0.000952502,0.009525019
3923,SRD129_P165_N_D42,165,N,42,Control,uncultured,4.39E-05,42_Control,0.000439271,0.004392708
3924,SRD129_P165_N_D7,165,N,7,Control,uncultured,0.000575892,7_Control,0.005758917,0.057589173
3925,SRD129_P166_N_D0,166,N,0,Control,uncultured,0.00017104,0_Control,0.001710404,0.017104041
3926,SRD129_P166_N_D1,166,N,1,Control,uncultured,0.00040041,1_Control,0.0040041,0.040041002
3927,SRD129_P166_N_D10,166,N,10,Control,uncultured,0.002886358,10_Control,0.028863584,0.288635844
3928,SRD129_P166_N_D14,166,N,14,Control,uncultured,0.00276635,14_Control,0.027663498,0.276634984
3929,SRD129_P166_N_D21,166,N,21,Control,uncultured,0.00124538,21_Control,0.0124538,0.124538004
3930,SRD129_P166_N_D3,166,N,3,Control,uncultured,0.00135415,3_Control,0.013541501,0.135415007
3931,SRD129_P166_N_D36,166,N,36,Control,uncultured,0.000501096,36_Control,0.005010961,0.050109615
3932,SRD129_P166_N_D42,166,N,42,Control,uncultured,0,42_Control,0,0
3933,SRD129_P166_N_D7,166,N,7,Control,uncultured,0.000964081,7_Control,0.009640811,0.096408109
3934,SRD129_P167_N_D0,167,N,0,Control,uncultured,0.000195567,0_Control,0.001955671,0.019556714
3935,SRD129_P167_N_D1,167,N,1,Control,uncultured,0.000363964,1_Control,0.003639641,0.036396409
3936,SRD129_P167_N_D10,167,N,10,Control,uncultured,0.00154045,10_Control,0.015404499,0.154044986
3937,SRD129_P167_N_D14,167,N,14,Control,uncultured,0.003302193,14_Control,0.03302193,0.330219299
3938,SRD129_P167_N_D21,167,N,21,Control,uncultured,0.002260415,21_Control,0.022604154,0.226041545
3939,SRD129_P167_N_D3,167,N,3,Control,uncultured,0.001292356,3_Control,0.012923562,0.129235619
3940,SRD129_P167_N_D36,167,N,36,Control,uncultured,9.46E-05,36_Control,0.000945716,0.009457159
3941,SRD129_P167_N_D42,167,N,42,Control,uncultured,0,42_Control,0,0
3942,SRD129_P167_N_D7,167,N,7,Control,uncultured,0.000653405,7_Control,0.00653405,0.065340497
3943,SRD129_P168_N_D0,168,N,0,Control,uncultured,0.000264217,0_Control,0.002642169,0.02642169
3944,SRD129_P168_N_D1,168,N,1,Control,uncultured,0.00048025,1_Control,0.004802497,0.048024973
3945,SRD129_P168_N_D10,168,N,10,Control,uncultured,0.00459743,10_Control,0.045974302,0.459743015
3946,SRD129_P168_N_D14,168,N,14,Control,uncultured,0.004942895,14_Control,0.049428946,0.494289459
3947,SRD129_P168_N_D21,168,N,21,Control,uncultured,0.003110675,21_Control,0.031106745,0.311067453
3948,SRD129_P168_N_D3,168,N,3,Control,uncultured,0.003296794,3_Control,0.032967939,0.329679387
3949,SRD129_P168_N_D36,168,N,36,Control,uncultured,0.001105549,36_Control,0.011055492,0.110554924
3950,SRD129_P168_N_D42,168,N,42,Control,uncultured,9.89E-05,42_Control,0.000988924,0.009889241
3951,SRD129_P168_N_D7,168,N,7,Control,uncultured,0.000944077,7_Control,0.009440773,0.09440773
3952,SRD129_P169_N_D0,169,N,0,Control,uncultured,0.000229174,0_Control,0.002291738,0.022917383
3953,SRD129_P169_N_D1,169,N,1,Control,uncultured,0.000375437,1_Control,0.00375437,0.037543703
3954,SRD129_P169_N_D10,169,N,10,Control,uncultured,0.001455465,10_Control,0.014554647,0.14554647
3955,SRD129_P169_N_D14,169,N,14,Control,uncultured,0.000722935,14_Control,0.007229351,0.072293512
3956,SRD129_P169_N_D21,169,N,21,Control,uncultured,0.001644974,21_Control,0.016449742,0.164497417
3957,SRD129_P169_N_D3,169,N,3,Control,uncultured,0.006507513,3_Control,0.065075129,0.650751289
3958,SRD129_P169_N_D36,169,N,36,Control,uncultured,0.001183665,36_Control,0.011836654,0.118366542
3959,SRD129_P169_N_D42,169,N,42,Control,uncultured,0,42_Control,0,0
3960,SRD129_P169_N_D7,169,N,7,Control,uncultured,0.000216123,7_Control,0.002161228,0.021612276
3961,SRD129_P170_N_D0,170,N,0,Control,uncultured,0.000322077,0_Control,0.003220768,0.032207675
3962,SRD129_P170_N_D1,170,N,1,Control,uncultured,0.000444494,1_Control,0.004444938,0.044449383
3963,SRD129_P170_N_D10,170,N,10,Control,uncultured,0.0035376,10_Control,0.035375998,0.353759982
3964,SRD129_P170_N_D14,170,N,14,Control,uncultured,0.00431823,14_Control,0.043182295,0.431822953
3965,SRD129_P170_N_D21,170,N,21,Control,uncultured,0.001216508,21_Control,0.01216508,0.121650801
3966,SRD129_P170_N_D3,170,N,3,Control,uncultured,0.007354346,3_Control,0.073543457,0.735434575
3967,SRD129_P170_N_D36,170,N,36,Control,uncultured,0.000922509,36_Control,0.009225092,0.092250923
3968,SRD129_P170_N_D42,170,N,42,Control,uncultured,0,42_Control,0,0
3969,SRD129_P170_N_D7,170,N,7,Control,uncultured,0.001467483,7_Control,0.014674827,0.146748273
3970,SRD129_P171_N_D0,171,N,0,Control,uncultured,4.21E-05,0_Control,0.000420504,0.004205038
3971,SRD129_P171_N_D1,171,N,1,Control,uncultured,0.000621808,1_Control,0.006218077,0.062180768
3972,SRD129_P171_N_D10,171,N,10,Control,uncultured,0.002793478,10_Control,0.027934776,0.279347755
3973,SRD129_P171_N_D14,171,N,14,Control,uncultured,0.006416552,14_Control,0.064165521,0.641655209
3974,SRD129_P171_N_D21,171,N,21,Control,uncultured,0.001642743,21_Control,0.016427426,0.16427426
3975,SRD129_P171_N_D3,171,N,3,Control,uncultured,0.008016072,3_Control,0.080160715,0.801607153
3976,SRD129_P171_N_D36,171,N,36,Control,uncultured,0.001380209,36_Control,0.013802093,0.138020933
3977,SRD129_P171_N_D42,171,N,42,Control,uncultured,0,42_Control,0,0
3978,SRD129_P171_N_D7,171,N,7,Control,uncultured,0.001329606,7_Control,0.013296059,0.132960589
3979,SRD129_P152_N_D0,152,N,0,IAV,Collinsella,0.002228581,0_IAV,0.031836869,0.222858086
3980,SRD129_P152_N_D1,152,N,1,IAV,Collinsella,0.000677209,1_IAV,0.009674408,0.067720855
3981,SRD129_P152_N_D10,152,N,10,IAV,Collinsella,0.002111394,10_IAV,0.030162775,0.211139425
3982,SRD129_P152_N_D14,152,N,14,IAV,Collinsella,0.001636661,14_IAV,0.023380874,0.163666121
3983,SRD129_P152_N_D21,152,N,21,IAV,Collinsella,0.001575685,21_IAV,0.022509781,0.15756847
3984,SRD129_P152_N_D3,152,N,3,IAV,Collinsella,0.001147488,3_IAV,0.016392687,0.114748808
3985,SRD129_P152_N_D36,152,N,36,IAV,Collinsella,0.001221528,36_IAV,0.017450395,0.122152763
3986,SRD129_P152_N_D42,152,N,42,IAV,Collinsella,0.002984342,42_IAV,0.042633463,0.298434242
3987,SRD129_P152_N_D7,152,N,7,IAV,Collinsella,0.000312098,7_IAV,0.004458538,0.031209769
3988,SRD129_P153_N_D0,153,N,0,IAV,Collinsella,0.002124841,0_IAV,0.030354866,0.212484064
3989,SRD129_P153_N_D1,153,N,1,IAV,Collinsella,0.001558753,1_IAV,0.0222679,0.1558753
3990,SRD129_P153_N_D10,153,N,10,IAV,Collinsella,0.000686091,10_IAV,0.009801295,0.068609066
3991,SRD129_P153_N_D14,153,N,14,IAV,Collinsella,0.00363582,14_IAV,0.05194029,0.36358203
3992,SRD129_P153_N_D21,153,N,21,IAV,Collinsella,0.001760524,21_IAV,0.025150345,0.176052415
3993,SRD129_P153_N_D3,153,N,3,IAV,Collinsella,0.002037312,3_IAV,0.029104456,0.203731191
3994,SRD129_P153_N_D36,153,N,36,IAV,Collinsella,0.000496612,36_IAV,0.007094463,0.049661239
3995,SRD129_P153_N_D42,153,N,42,IAV,Collinsella,0.000180985,42_IAV,0.002585494,0.018098456
3996,SRD129_P153_N_D7,153,N,7,IAV,Collinsella,0.000899812,7_IAV,0.012854462,0.089981232
3997,SRD129_P154_N_D0,154,N,0,IAV,Collinsella,0.001742741,0_IAV,0.024896296,0.174274072
3998,SRD129_P154_N_D1,154,N,1,IAV,Collinsella,0.002016821,1_IAV,0.028811731,0.201682115
3999,SRD129_P154_N_D10,154,N,10,IAV,Collinsella,0.0015484,10_IAV,0.022119994,0.154839958
4000,SRD129_P154_N_D14,154,N,14,IAV,Collinsella,0.005776089,14_IAV,0.082515562,0.577608932
4001,SRD129_P154_N_D21,154,N,21,IAV,Collinsella,0.00454609,21_IAV,0.064944148,0.454609036
4002,SRD129_P154_N_D3,154,N,3,IAV,Collinsella,0.003589915,3_IAV,0.051284498,0.358991484
4003,SRD129_P154_N_D36,154,N,36,IAV,Collinsella,0.001935076,36_IAV,0.027643946,0.193507622
4004,SRD129_P154_N_D42,154,N,42,IAV,Collinsella,0.001371675,42_IAV,0.019595356,0.137167491
4005,SRD129_P154_N_D7,154,N,7,IAV,Collinsella,0.001068768,7_IAV,0.015268108,0.106876756
4006,SRD129_P156_N_D0,156,N,0,IAV,Collinsella,0.001951117,0_IAV,0.027873095,0.195111662
4007,SRD129_P156_N_D1,156,N,1,IAV,Collinsella,0.001317655,1_IAV,0.018823637,0.131765457
4008,SRD129_P156_N_D10,156,N,10,IAV,Collinsella,0.000855657,10_IAV,0.012223674,0.085565721
4009,SRD129_P156_N_D14,156,N,14,IAV,Collinsella,0.003352173,14_IAV,0.047888187,0.335217307
4010,SRD129_P156_N_D21,156,N,21,IAV,Collinsella,0.001946992,21_IAV,0.027814172,0.194699204
4011,SRD129_P156_N_D3,156,N,3,IAV,Collinsella,0.002398337,3_IAV,0.034261959,0.239833715
4012,SRD129_P156_N_D36,156,N,36,IAV,Collinsella,0.000732853,36_IAV,0.010469334,0.073285339
4013,SRD129_P156_N_D42,156,N,42,IAV,Collinsella,0.000236974,42_IAV,0.003385341,0.023697384
4014,SRD129_P156_N_D7,156,N,7,IAV,Collinsella,0.000286279,7_IAV,0.004089706,0.028627941
4015,SRD129_P157_N_D0,157,N,0,IAV,Collinsella,0.001980022,0_IAV,0.028286026,0.19800218
4016,SRD129_P157_N_D1,157,N,1,IAV,Collinsella,0.001205175,1_IAV,0.017216784,0.120517487
4017,SRD129_P157_N_D10,157,N,10,IAV,Collinsella,0.000952441,10_IAV,0.013606306,0.095244142
4018,SRD129_P157_N_D14,157,N,14,IAV,Collinsella,0.004105916,14_IAV,0.058655941,0.410591587
4019,SRD129_P157_N_D21,157,N,21,IAV,Collinsella,0.00209166,21_IAV,0.02988085,0.209165951
4020,SRD129_P157_N_D3,157,N,3,IAV,Collinsella,0.007858827,3_IAV,0.112268956,0.785882689
4021,SRD129_P157_N_D36,157,N,36,IAV,Collinsella,0.0026464,36_IAV,0.037805717,0.264640022
4022,SRD129_P157_N_D42,157,N,42,IAV,Collinsella,0.00063577,42_IAV,0.009082435,0.063577045
4023,SRD129_P157_N_D7,157,N,7,IAV,Collinsella,0.001243681,7_IAV,0.017766876,0.12436813
4024,SRD129_P159_N_D0,159,N,0,IAV,Collinsella,0.001013813,0_IAV,0.014483046,0.10138132
4025,SRD129_P159_N_D1,159,N,1,IAV,Collinsella,0.000452358,1_IAV,0.006462263,0.045235843
4026,SRD129_P159_N_D10,159,N,10,IAV,Collinsella,0.000964475,10_IAV,0.013778217,0.096447516
4027,SRD129_P159_N_D14,159,N,14,IAV,Collinsella,0.001351477,14_IAV,0.019306819,0.13514773
4028,SRD129_P159_N_D21,159,N,21,IAV,Collinsella,0.003457294,21_IAV,0.049389908,0.345729356
4029,SRD129_P159_N_D3,159,N,3,IAV,Collinsella,0.002156635,3_IAV,0.030809067,0.215663468
4030,SRD129_P159_N_D36,159,N,36,IAV,Collinsella,0.000833649,36_IAV,0.011909273,0.083364911
4031,SRD129_P159_N_D42,159,N,42,IAV,Collinsella,0.001025845,42_IAV,0.014654924,0.102584467
4032,SRD129_P159_N_D7,159,N,7,IAV,Collinsella,0.000663401,7_IAV,0.009477153,0.066340069
4033,SRD129_P160_N_D0,160,N,0,IAV,Collinsella,0.000931553,0_IAV,0.0133079,0.093155303
4034,SRD129_P160_N_D1,160,N,1,IAV,Collinsella,0.000606093,1_IAV,0.008658465,0.060609255
4035,SRD129_P160_N_D10,160,N,10,IAV,Collinsella,0.001142857,10_IAV,0.016326531,0.114285714
4036,SRD129_P160_N_D14,160,N,14,IAV,Collinsella,0.008828911,14_IAV,0.126127304,0.882891125
4037,SRD129_P160_N_D21,160,N,21,IAV,Collinsella,0.003675964,21_IAV,0.052513768,0.367596379
4038,SRD129_P160_N_D3,160,N,3,IAV,Collinsella,0.002416271,3_IAV,0.034518152,0.241627062
4039,SRD129_P160_N_D36,160,N,36,IAV,Collinsella,0.001952108,36_IAV,0.027887261,0.195210828
4040,SRD129_P160_N_D42,160,N,42,IAV,Collinsella,0.000533333,42_IAV,0.007619048,0.053333333
4041,SRD129_P160_N_D7,160,N,7,IAV,Collinsella,0.001222494,7_IAV,0.017464198,0.122249389
4042,SRD129_P162_N_D0,162,N,0,Control,Collinsella,0.004401676,0_Control,0.044016757,0.440167567
4043,SRD129_P162_N_D1,162,N,1,Control,Collinsella,0.003573556,1_Control,0.035735557,0.357355569
4044,SRD129_P162_N_D10,162,N,10,Control,Collinsella,0.002959196,10_Control,0.029591964,0.295919643
4045,SRD129_P162_N_D14,162,N,14,Control,Collinsella,0.006180086,14_Control,0.061800856,0.618008562
4046,SRD129_P162_N_D21,162,N,21,Control,Collinsella,0.002326863,21_Control,0.02326863,0.232686302
4047,SRD129_P162_N_D3,162,N,3,Control,Collinsella,0.004790504,3_Control,0.047905035,0.479050353
4048,SRD129_P162_N_D36,162,N,36,Control,Collinsella,0.001138745,36_Control,0.011387446,0.113874465
4049,SRD129_P162_N_D42,162,N,42,Control,Collinsella,0.000362713,42_Control,0.003627131,0.036271309
4050,SRD129_P162_N_D7,162,N,7,Control,Collinsella,0.004005231,7_Control,0.040052313,0.400523132
4051,SRD129_P163_N_D0,163,N,0,Control,Collinsella,0.00308759,0_Control,0.030875901,0.308759005
4052,SRD129_P163_N_D1,163,N,1,Control,Collinsella,0.00248522,1_Control,0.024852205,0.248522047
4053,SRD129_P163_N_D10,163,N,10,Control,Collinsella,0.003257115,10_Control,0.032571147,0.325711466
4054,SRD129_P163_N_D14,163,N,14,Control,Collinsella,0.004427348,14_Control,0.044273479,0.442734795
4055,SRD129_P163_N_D21,163,N,21,Control,Collinsella,0.003743534,21_Control,0.037435339,0.37435339
