,group,Pig,Tissue,Day,Treatment,Genus,value,All,value2,percent_tot
58,SRD129_P160_N_D14,160,N,14,IAV,Moraxella,0.242451967,14_IAV,3.463599529,24.24519671
59,SRD129_P160_N_D21,160,N,21,IAV,Moraxella,0.189128337,21_IAV,2.701833387,18.91283371
60,SRD129_P160_N_D3,160,N,3,IAV,Moraxella,0.298849471,3_IAV,4.269278159,29.88494711
61,SRD129_P160_N_D36,160,N,36,IAV,Moraxella,0.250694083,36_IAV,3.581344042,25.06940829
62,SRD129_P160_N_D42,160,N,42,IAV,Moraxella,0.100622222,42_IAV,1.437460317,10.06222222
63,SRD129_P160_N_D7,160,N,7,IAV,Moraxella,0.369526561,7_IAV,5.278950878,36.95265615
64,SRD129_P162_N_D0,162,N,0,Control,Moraxella,0.353864368,0_Control,3.538643677,35.38643677
65,SRD129_P162_N_D1,162,N,1,Control,Moraxella,0.220406492,1_Control,2.20406492,22.0406492
66,SRD129_P162_N_D10,162,N,10,Control,Moraxella,0.39624057,10_Control,3.962405702,39.62405702
67,SRD129_P162_N_D14,162,N,14,Control,Moraxella,0.34384063,14_Control,3.438406297,34.38406297
68,SRD129_P162_N_D21,162,N,21,Control,Moraxella,0.422754271,21_Control,4.22754271,42.2754271
69,SRD129_P162_N_D3,162,N,3,Control,Moraxella,0.283608376,3_Control,2.836083763,28.36083763
70,SRD129_P162_N_D36,162,N,36,Control,Moraxella,0.151771887,36_Control,1.517718867,15.17718867
71,SRD129_P162_N_D42,162,N,42,Control,Moraxella,0.217688309,42_Control,2.176883085,21.76883085
72,SRD129_P162_N_D7,162,N,7,Control,Moraxella,0.253800883,7_Control,2.538008828,25.38008828
73,SRD129_P163_N_D0,163,N,0,Control,Moraxella,0.158712962,0_Control,1.587129625,15.87129625
74,SRD129_P163_N_D1,163,N,1,Control,Moraxella,0.248484392,1_Control,2.484843921,24.84843921
75,SRD129_P163_N_D10,163,N,10,Control,Moraxella,0.290310906,10_Control,2.903109064,29.03109064
76,SRD129_P163_N_D14,163,N,14,Control,Moraxella,0.44752504,14_Control,4.475250399,44.75250399
77,SRD129_P163_N_D21,163,N,21,Control,Moraxella,0.372787912,21_Control,3.727879118,37.27879118
78,SRD129_P163_N_D3,163,N,3,Control,Moraxella,0.236096083,3_Control,2.360960831,23.60960831
79,SRD129_P163_N_D36,163,N,36,Control,Moraxella,0.385063752,36_Control,3.850637523,38.50637523
80,SRD129_P163_N_D42,163,N,42,Control,Moraxella,0.280529595,42_Control,2.80529595,28.0529595
81,SRD129_P163_N_D7,163,N,7,Control,Moraxella,0.215532404,7_Control,2.155324043,21.55324043
82,SRD129_P164_N_D0,164,N,0,Control,Moraxella,0.405891762,0_Control,4.058917622,40.58917622
83,SRD129_P164_N_D1,164,N,1,Control,Moraxella,0.210318902,1_Control,2.103189021,21.03189021
84,SRD129_P164_N_D10,164,N,10,Control,Moraxella,0.386875771,10_Control,3.868757712,38.68757712
85,SRD129_P164_N_D14,164,N,14,Control,Moraxella,0.579970172,14_Control,5.799701722,57.99701722
86,SRD129_P164_N_D21,164,N,21,Control,Moraxella,0.436704587,21_Control,4.367045868,43.67045868
