"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp","Family_Genus"
"Otu02261",10.5853206330756,2.78186542065251,0.715354799288736,3.88879116127895,0.000100744758850299,0.000698496994695409,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","1.0e-03","IAV","Otu0226","D28_IAVvsControl","Enterococcaceae Vagococcus"
"Otu02421",9.0424516019403,-4.19609675895539,1.22207592301843,-3.43358107292662,0.000595664038215419,0.00375448848329719,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_RF16_group","Bacteroidales_RF16_group_ge","4.0e-03","Control","Otu0242","D28_IAVvsControl","Bacteroidales_RF16_group Bacteroidales_RF16_group_ge"
"Otu0269",6.64860016756079,-2.45872752633594,0.776814231435162,-3.16514222685319,0.0015500716125239,0.00871391609202622,"Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","9.0e-03","Control","Otu0269","D28_IAVvsControl","Proteobacteria_unclassified Proteobacteria_unclassified"
"Otu0271",7.0882854502642,1.86146555444074,0.723207076344337,2.57390395548958,0.0100558183393429,0.0358153647857448,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_FCS020_group","3.6e-02","IAV","Otu0271","D28_IAVvsControl","Lachnospiraceae Lachnospiraceae_FCS020_group"
"Otu0276",18.682065976211,-1.10873808083559,0.373233272901476,-2.97063033050718,0.00297189274153652,0.0140489475054454,"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa","Gastranaerophilales_ge","1.4e-02","Control","Otu0276","D28_IAVvsControl","Gastranaerophilales_fa Gastranaerophilales_ge"
"Otu0308",6.42961615124538,-1.87999828824518,0.758310983648967,-2.47919168887504,0.0131680516739202,0.0441766894866999,"Bacteria","Lentisphaerae","Oligosphaeria","Oligosphaerales","Oligosphaeraceae","Z20","4.4e-02","Control","Otu0308","D28_IAVvsControl","Oligosphaeraceae Z20"
"Otu03312",1.79534137138852,4.24587296238315,1.49723002355423,2.83581874233593,0.00457083791690813,0.0205515584543921,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcaceae_unclassified","2.1e-02","IAV","Otu0331","D28_IAVvsControl","Micrococcaceae Micrococcaceae_unclassified"
"Otu0346",6.66240173554508,-5.17139054309098,2.01129627406011,-2.57117293448356,0.0101354701031766,0.0358153647857448,"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","3.6e-02","Control","Otu0346","D28_IAVvsControl","Mycoplasmataceae Mycoplasma"
"Otu03691",15.1450684557043,5.86851220356453,1.06260035981729,5.52278394162559,3.33669952095676e-08,8.67541875448758e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Wohlfahrtiimonas","0.0e+00","IAV","Otu0369","D28_IAVvsControl","Wohlfahrtiimonadaceae Wohlfahrtiimonas"
"Otu0394",1.54310570806179,4.00849583163934,1.42117596021041,2.8205485765787,0.0047941614385653,0.0205515584543921,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus","2.1e-02","IAV","Otu0394","D28_IAVvsControl","Ruminococcaceae Butyricicoccus"
"Otu0440",2.27191141013455,-4.86539324994012,1.78304218529419,-2.72870338686763,0.00635838669188622,0.0249536685266478,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Family_XIII_unclassified","2.5e-02","Control","Otu0440","D28_IAVvsControl","Family_XIII Family_XIII_unclassified"
"Otu0497",4.25390098332325,4.7353510017682,1.18076726511542,4.01040166141913,6.06155427636866e-05,0.000484924342109493,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio","0.0e+00","IAV","Otu0497","D28_IAVvsControl","Lachnospiraceae Butyrivibrio"
