group,Pig,Tissue,Set,numOTU
SRD129_P168_N_D42,168,N,D42_Control,334
SRD129_P169_N_D42,169,N,D42_Control,261
SRD129_P170_N_D42,170,N,D42_Control,343
SRD129_P171_N_D42,171,N,D42_Control,357
SRD129_P152_N_D42,152,N,D42_IAV,447
SRD129_P153_N_D42,153,N,D42_IAV,246
SRD129_P154_N_D42,154,N,D42_IAV,366
SRD129_P156_N_D42,156,N,D42_IAV,153
SRD129_P157_N_D42,157,N,D42_IAV,292
SRD129_P159_N_D42,159,N,D42_IAV,325
SRD129_P160_N_D42,160,N,D42_IAV,354
SRD129_P162_N_D7,162,N,D7_Control,191
SRD129_P163_N_D7,163,N,D7_Control,169
SRD129_P164_N_D7,164,N,D7_Control,123
SRD129_P165_N_D7,165,N,D7_Control,136
SRD129_P166_N_D7,166,N,D7_Control,143
SRD129_P167_N_D7,167,N,D7_Control,104
SRD129_P168_N_D7,168,N,D7_Control,143
SRD129_P169_N_D7,169,N,D7_Control,109
SRD129_P170_N_D7,170,N,D7_Control,216
SRD129_P171_N_D7,171,N,D7_Control,176
SRD129_P152_N_D7,152,N,D7_IAV,63
SRD129_P153_N_D7,153,N,D7_IAV,105
SRD129_P154_N_D7,154,N,D7_IAV,96
SRD129_P156_N_D7,156,N,D7_IAV,99
SRD129_P157_N_D7,157,N,D7_IAV,130
SRD129_P159_N_D7,159,N,D7_IAV,79
SRD129_P160_N_D7,160,N,D7_IAV,102
