,Category,x,avg,Genus,Treatment,Day,,,
87,Ruminococcaceae_NK4A214_group,0.018757326,0.187573258,Other,Control,D0,,,
88,Ruminococcaceae_UCG-002,0.054193703,0.541937031,Other,Control,D0,,,
89,Ruminococcaceae_UCG-005,0.020726831,0.207268308,Other,Control,D0,,,
90,Ruminococcaceae_UCG-008,0.000104161,0.001041611,Other,Control,D0,,,
91,Ruminococcaceae_UCG-010,0.004405697,0.044056966,Other,Control,D0,,,
92,Ruminococcaceae_UCG-014,0.009312199,0.093121991,Other,Control,D0,,,
93,Ruminococcaceae_unclassified,0.013179103,0.131791031,Other,Control,D0,,,
94,Ruminococcus_1,0.006835044,0.068350443,Other,Control,D0,,,
95,Ruminococcus_2,0.0033863,0.033862995,Other,Control,D0,,,
96,Solobacterium,0.002031039,0.020310388,Other,Control,D0,,,
97,Sphingobacterium,0.00092349,0.009234903,Other,Control,D0,,,
98,Staphylococcus,0.03575293,0.357529299,Other,Control,D0,,,
99,Streptococcus,1.027862246,10.27862246,Streptococcus,Control,D0,,,
100,Subdoligranulum,0.018469806,0.184698063,Other,Control,D0,,,
101,Succiniclasticum,0.000405165,0.004051649,Other,Control,D0,,,
102,Succinivibrionaceae_unclassified,0.000600808,0.00600808,Other,Control,D0,,,
103,Syntrophococcus,0.001238079,0.012380791,Other,Control,D0,,,
104,Terrisporobacter,0.020635769,0.206357686,Other,Control,D0,,,
105,Treponema_2,0.033030525,0.330305248,Other,Control,D0,,,
106,Turicibacter,0.01482009,0.148200895,Other,Control,D0,,,
107,uncultured,0.003920655,0.039206555,Other,Control,D0,,,
108,uncultured.1,0.029704738,0.297047385,Other,Control,D0,,,
109,uncultured.2,0.001567843,0.015678426,Other,Control,D0,,,
110,Veillonella,0.017460589,0.174605891,Other,Control,D0,,,
111,Veillonellaceae_unclassified,0.012660413,0.12660413,Other,Control,D0,,,
112,Weeksellaceae_unclassified,1.017175282,10.17175282,Weeksellaceae_unclassified,Control,D0,,,
113,Weissella,0.061817117,0.618171168,Other,Control,D0,,,
,Other,0.013561394,1.356139437,Other,Control,D0,,,
114,Acinetobacter,0.001635942,0.023370599,Other,IAV,D0,,,
115,Actinobacillus,1.679248757,23.98926796,Actinobacillus,IAV,D0,,,
116,Actinomyces,0.002590152,0.037002175,Other,IAV,D0,,,
117,Aerococcus,0,0,Other,IAV,D0,,,
118,Agathobacter,0.004665037,0.066643381,Other,IAV,D0,,,
