,Category,x,avg,Genus,Treatment,Day,,,
372,Enhydrobacter,0.00162425,0.023203568,Other,IAV,D1,,,
373,Enterobacteriaceae_unclassified,0.000906464,0.01294948,Other,IAV,D1,,,
374,Enterococcus,0.002932426,0.041891798,Other,IAV,D1,,,
375,Erysipelotrichaceae_unclassified,0.003441041,0.049157722,Other,IAV,D1,,,
376,Escherichia-Shigella,0.040077127,0.572530391,Other,IAV,D1,,,
377,Faecalibacterium,0.014793276,0.211332521,Other,IAV,D1,,,
378,Family_XIII_AD3011_group,0.003793083,0.0541869,Other,IAV,D1,,,
379,Family_XIII_ge,0.00262974,0.037567721,Other,IAV,D1,,,
380,Fusobacterium,0.013845611,0.197794442,Other,IAV,D1,,,
381,Holdemanella,0.001188719,0.016981706,Other,IAV,D1,,,
382,Intestinibacter,0.001462763,0.020896609,Other,IAV,D1,,,
383,Lachnospiraceae_AC2044_group,0.000928945,0.01327064,Other,IAV,D1,,,
384,Lachnospiraceae_ge,0.005331948,0.076170688,Other,IAV,D1,,,
385,Lachnospiraceae_NK4A136_group,0.000678208,0.009688679,Other,IAV,D1,,,
386,Lachnospiraceae_unclassified,0.010100977,0.144299666,Other,IAV,D1,,,
387,Lachnospiraceae_XPB1014_group,0.000838033,0.011971897,Other,IAV,D1,,,
388,Lactobacillus,0.01974594,0.282084854,Other,IAV,D1,,,
389,Lactococcus,0.001242166,0.017745222,Other,IAV,D1,,,
390,Leuconostoc,0,0,Other,IAV,D1,,,
391,Marvinbryantia,0.000792375,0.011319648,Other,IAV,D1,,,
392,Megasphaera,0.021790683,0.311295476,Other,IAV,D1,,,
393,Mogibacterium,0.007969679,0.113852554,Other,IAV,D1,,,
394,Mollicutes_RF39_ge,0.003340063,0.047715184,Other,IAV,D1,,,
395,Moraxella,2.575389073,36.79127248,Moraxella,IAV,D1,,,
396,Moraxellaceae_unclassified,0.00224842,0.032120281,Other,IAV,D1,,,
397,Muribaculaceae_ge,0.0065627,0.093752854,Other,IAV,D1,,,
398,Muribaculaceae_unclassified,0.000280461,0.00400658,Other,IAV,D1,,,
399,Neisseriaceae_unclassified,0.254000916,3.628584515,Neisseriaceae_unclassified,IAV,D1,,,
400,Olsenella,0.000731668,0.010452393,Other,IAV,D1,,,
401,Oscillospira,0.003180876,0.045441083,Other,IAV,D1,,,
402,Parabacteroides,0.000886159,0.012659416,Other,IAV,D1,,,
403,Parvimonas,0.003393447,0.04847781,Other,IAV,D1,,,
404,Pasteurellaceae_unclassified,0.024507904,0.350112921,Other,IAV,D1,,,
405,Pediococcus,0.00260185,0.037169283,Other,IAV,D1,,,
406,Peptococcus,0.001782177,0.02545967,Other,IAV,D1,,,
407,Peptostreptococcus,0.006488749,0.092696415,Other,IAV,D1,,,
408,Phascolarctobacterium,0.019181987,0.274028382,Other,IAV,D1,,,
409,Porphyromonas,0.008043383,0.114905475,Other,IAV,D1,,,
410,Prevotella_1,0.001934893,0.027641322,Other,IAV,D1,,,
411,Prevotella_2,0.00660147,0.094306713,Other,IAV,D1,,,
412,Prevotella_7,0.002858553,0.040836476,Other,IAV,D1,,,
413,Prevotella_9,0.042192951,0.602756444,Other,IAV,D1,,,
414,Prevotellaceae_NK3B31_group,0.02589827,0.36997528,Other,IAV,D1,,,
415,Prevotellaceae_UCG-001,0.001259791,0.017997018,Other,IAV,D1,,,
416,Prevotellaceae_UCG-003,0.006114207,0.087345812,Other,IAV,D1,,,
417,Prevotellaceae_unclassified,0.02227885,0.318269291,Other,IAV,D1,,,
418,Pseudoramibacter,0.00079618,0.011373994,Other,IAV,D1,,,
419,Rikenellaceae_RC9_gut_group,0.003222813,0.046040192,Other,IAV,D1,,,
420,Romboutsia,0.004495878,0.06422683,Other,IAV,D1,,,
421,Roseburia,0.000307611,0.004394445,Other,IAV,D1,,,
422,Rothia,0.018874557,0.269636531,Other,IAV,D1,,,
423,Ruminiclostridium_5,0.002468534,0.035264777,Other,IAV,D1,,,
424,Ruminiclostridium_9,0.00216006,0.030858006,Other,IAV,D1,,,
425,Ruminococcaceae_ge,0.002476185,0.035374068,Other,IAV,D1,,,
426,Ruminococcaceae_NK4A214_group,0.004420848,0.063154974,Other,IAV,D1,,,
427,Ruminococcaceae_UCG-002,0.024152839,0.345040552,Other,IAV,D1,,,
428,Ruminococcaceae_UCG-005,0.00669391,0.095627287,Other,IAV,D1,,,
429,Ruminococcaceae_UCG-008,2.00E-05,0.000285207,Other,IAV,D1,,,
430,Ruminococcaceae_UCG-010,0.002233799,0.031911413,Other,IAV,D1,,,
431,Ruminococcaceae_UCG-014,0.003325705,0.047510073,Other,IAV,D1,,,
432,Ruminococcaceae_unclassified,0.005794357,0.082776525,Other,IAV,D1,,,
433,Ruminococcus_1,0.002456016,0.035085945,Other,IAV,D1,,,
434,Ruminococcus_2,0.001845059,0.026357979,Other,IAV,D1,,,
435,Solobacterium,0.001307319,0.018675992,Other,IAV,D1,,,
436,Sphingobacterium,3.39E-05,0.00048372,Other,IAV,D1,,,
437,Staphylococcus,0.01552901,0.221843005,Other,IAV,D1,,,
438,Streptococcus,0.99544316,14.22061658,Streptococcus,IAV,D1,,,
439,Subdoligranulum,0.005702976,0.081471091,Other,IAV,D1,,,
440,Succiniclasticum,0.000211415,0.003020216,Other,IAV,D1,,,
441,Succinivibrionaceae_unclassified,0.002433165,0.034759496,Other,IAV,D1,,,
442,Syntrophococcus,0.000971885,0.013884071,Other,IAV,D1,,,
443,Terrisporobacter,0.010270072,0.146715318,Other,IAV,D1,,,
444,Treponema_2,0.010011863,0.143026615,Other,IAV,D1,,,
445,Turicibacter,0.005043899,0.072055706,Other,IAV,D1,,,
446,uncultured,0.004198994,0.059985625,Other,IAV,D1,,,
447,uncultured.1,0.000857408,0.01224869,Other,IAV,D1,,,
448,uncultured.2,0.000520673,0.007438184,Other,IAV,D1,,,
449,Veillonella,0.007416739,0.105953418,Other,IAV,D1,,,
450,Veillonellaceae_unclassified,0.01327833,0.189690436,Other,IAV,D1,,,
451,Weeksellaceae_unclassified,0.288856625,4.126523215,Weeksellaceae_unclassified,IAV,D1,,,
452,Weissella,0.016581429,0.236877554,Other,IAV,D1,,,
,,,,,,,,,
453,Acinetobacter,0.005130226,0.073288939,Other,IAV,D3,,,
454,Actinobacillus,1.732353805,24.7479115,Actinobacillus,IAV,D3,,,
455,Actinomyces,0.000385289,0.005504123,Other,IAV,D3,,,
456,Aerococcus,8.00E-05,0.001142985,Other,IAV,D3,,,
457,Agathobacter,0.021330232,0.304717607,Other,IAV,D3,,,
458,Alloprevotella,0.023383625,0.334051787,Other,IAV,D3,,,
459,Anaerococcus,0.003270579,0.046722554,Other,IAV,D3,,,
460,Anaerovibrio,0.002627914,0.037541622,Other,IAV,D3,,,
461,Bacteria_unclassified,0.001795561,0.025650872,Other,IAV,D3,,,
462,Bacteroidales_unclassified,0.002772817,0.039611664,Other,IAV,D3,,,
463,Bacteroides,0.004258801,0.060840016,Other,IAV,D3,,,
464,Bergeyella,0.002652892,0.037898464,Other,IAV,D3,,,
465,Blautia,0.064400391,0.920005583,Other,IAV,D3,,,
466,Brachybacterium,1.60E-05,0.000228597,Other,IAV,D3,,,
467,Burkholderiaceae_unclassified,0.000216038,0.003086262,Other,IAV,D3,,,
468,Carnobacteriaceae_unclassified,0.210725953,3.010370752,Carnobacteriaceae_unclassified,IAV,D3,,,
469,Catenibacterium,0.006874361,0.098205157,Other,IAV,D3,,,
470,Catenisphaera,0.00203316,0.029045139,Other,IAV,D3,,,
471,Christensenellaceae_R-7_group,0.005723703,0.081767193,Other,IAV,D3,,,
472,Chryseobacterium,0.001041523,0.014878895,Other,IAV,D3,,,
473,Clostridiales_unclassified,0.002781417,0.039734522,Other,IAV,D3,,,
474,Clostridiales_vadinBB60_group_ge,0.001566452,0.022377887,Other,IAV,D3,,,
475,Clostridium_sensu_stricto_1,0.035790968,0.511299547,Other,IAV,D3,,,
476,Clostridium_sensu_stricto_6,0.006886888,0.098384116,Other,IAV,D3,,,
477,Collinsella,0.021604784,0.308639774,Other,IAV,D3,,,
478,Coprococcus_1,0.001841746,0.026310664,Other,IAV,D3,,,
479,Coprococcus_3,0.009897571,0.141393867,Other,IAV,D3,,,
480,Corynebacterium_1,0.000243302,0.003475745,Other,IAV,D3,,,
481,Dialister,0,0,Other,IAV,D3,,,
482,Dorea,0.0104331,0.149044283,Other,IAV,D3,,,
483,Eggerthellaceae_unclassified,0.006371081,0.091015446,Other,IAV,D3,,,
484,Empedobacter,0.000394247,0.005632094,Other,IAV,D3,,,
485,Enhydrobacter,0.001110557,0.015865099,Other,IAV,D3,,,
486,Enterobacteriaceae_unclassified,0.000249045,0.003557779,Other,IAV,D3,,,
487,Enterococcus,0.001914172,0.027345321,Other,IAV,D3,,,
488,Erysipelotrichaceae_unclassified,0.004110568,0.058722402,Other,IAV,D3,,,
489,Escherichia-Shigella,0.019309921,0.275856021,Other,IAV,D3,,,
490,Faecalibacterium,0.024395744,0.348510626,Other,IAV,D3,,,
491,Family_XIII_AD3011_group,0.007772837,0.111040525,Other,IAV,D3,,,
492,Family_XIII_ge,0.00770936,0.110133717,Other,IAV,D3,,,
493,Fusobacterium,0.002907039,0.041529129,Other,IAV,D3,,,
494,Holdemanella,0.004679069,0.066843839,Other,IAV,D3,,,
495,Intestinibacter,0.002154061,0.030772304,Other,IAV,D3,,,
496,Lachnospiraceae_AC2044_group,0.000316855,0.004526502,Other,IAV,D3,,,
497,Lachnospiraceae_ge,0.01092756,0.156107994,Other,IAV,D3,,,
498,Lachnospiraceae_NK4A136_group,0.001669188,0.02384555,Other,IAV,D3,,,
499,Lachnospiraceae_unclassified,0.018228231,0.260403301,Other,IAV,D3,,,
500,Lachnospiraceae_XPB1014_group,0.000922461,0.013178021,Other,IAV,D3,,,
501,Lactobacillus,0.044032045,0.629029213,Other,IAV,D3,,,
502,Lactococcus,0.002163852,0.03091217,Other,IAV,D3,,,
503,Leuconostoc,0,0,Other,IAV,D3,,,
504,Marvinbryantia,0.004121422,0.058877463,Other,IAV,D3,,,
505,Megasphaera,0.050067805,0.715254351,Other,IAV,D3,,,
506,Mogibacterium,0.018810713,0.268724471,Other,IAV,D3,,,
507,Mollicutes_RF39_ge,0.003431164,0.049016623,Other,IAV,D3,,,
508,Moraxella,2.114768208,30.2109744,Moraxella,IAV,D3,,,
509,Moraxellaceae_unclassified,0.001210335,0.017290505,Other,IAV,D3,,,
510,Muribaculaceae_ge,0.008297217,0.118531677,Other,IAV,D3,,,
511,Muribaculaceae_unclassified,0.000953256,0.013617945,Other,IAV,D3,,,
512,Neisseriaceae_unclassified,0.292377158,4.176816548,Neisseriaceae_unclassified,IAV,D3,,,
513,Olsenella,0.004436325,0.063376065,Other,IAV,D3,,,
514,Oscillospira,0.006731974,0.096171061,Other,IAV,D3,,,
515,Parabacteroides,0.001677879,0.0239697,Other,IAV,D3,,,
516,Parvimonas,0.000657391,0.009391303,Other,IAV,D3,,,
517,Pasteurellaceae_unclassified,0.004903936,0.070056225,Other,IAV,D3,,,
518,Pediococcus,0.003352752,0.047896454,Other,IAV,D3,,,
519,Peptococcus,0.003259687,0.046566963,Other,IAV,D3,,,
520,Peptostreptococcus,0.001686174,0.024088199,Other,IAV,D3,,,
521,Phascolarctobacterium,0.04919736,0.702819423,Other,IAV,D3,,,
522,Porphyromonas,0.002931862,0.041883748,Other,IAV,D3,,,
523,Prevotella_1,0.007003871,0.100055299,Other,IAV,D3,,,
524,Prevotella_2,0.031134912,0.44478446,Other,IAV,D3,,,
525,Prevotella_7,0.00561075,0.080153571,Other,IAV,D3,,,
526,Prevotella_9,0.160958313,2.299404471,Prevotella_9,IAV,D3,,,
527,Prevotellaceae_NK3B31_group,0.053786867,0.768383811,Other,IAV,D3,,,
528,Prevotellaceae_UCG-001,0.001957958,0.027970833,Other,IAV,D3,,,
529,Prevotellaceae_UCG-003,0.010063896,0.143769939,Other,IAV,D3,,,
530,Prevotellaceae_unclassified,0.026105137,0.372930523,Other,IAV,D3,,,
531,Pseudoramibacter,0.002243702,0.032052886,Other,IAV,D3,,,
532,Rikenellaceae_RC9_gut_group,0.007091082,0.101301165,Other,IAV,D3,,,
533,Romboutsia,0.003419495,0.048849926,Other,IAV,D3,,,
534,Roseburia,0.000704886,0.010069801,Other,IAV,D3,,,
535,Rothia,0.020021603,0.286022898,Other,IAV,D3,,,
536,Ruminiclostridium_5,0.004674001,0.066771439,Other,IAV,D3,,,
537,Ruminiclostridium_9,0.007803917,0.111484526,Other,IAV,D3,,,
538,Ruminococcaceae_ge,0.006643488,0.094906978,Other,IAV,D3,,,
539,Ruminococcaceae_NK4A214_group,0.00689435,0.098490719,Other,IAV,D3,,,
540,Ruminococcaceae_UCG-002,0.043282153,0.618316464,Other,IAV,D3,,,
541,Ruminococcaceae_UCG-005,0.013350643,0.190723472,Other,IAV,D3,,,
542,Ruminococcaceae_UCG-008,0.000788808,0.011268691,Other,IAV,D3,,,
543,Ruminococcaceae_UCG-010,0.002460313,0.035147328,Other,IAV,D3,,,
544,Ruminococcaceae_UCG-014,0.014754393,0.210777049,Other,IAV,D3,,,
545,Ruminococcaceae_unclassified,0.010252525,0.146464649,Other,IAV,D3,,,
546,Ruminococcus_1,0.004288515,0.061264496,Other,IAV,D3,,,
547,Ruminococcus_2,0.004004811,0.057211583,Other,IAV,D3,,,
548,Solobacterium,0.00199152,0.028450286,Other,IAV,D3,,,
549,Sphingobacterium,0,0,Other,IAV,D3,,,
550,Staphylococcus,0.00621135,0.088733569,Other,IAV,D3,,,
551,Streptococcus,0.831667926,11.88097037,Streptococcus,IAV,D3,,,
552,Subdoligranulum,0.024192364,0.345605199,Other,IAV,D3,,,
553,Succiniclasticum,0.002282923,0.032613181,Other,IAV,D3,,,
554,Succinivibrionaceae_unclassified,0.00160336,0.022905142,Other,IAV,D3,,,
555,Syntrophococcus,0.0043119,0.061598573,Other,IAV,D3,,,
556,Terrisporobacter,0.031256422,0.446520316,Other,IAV,D3,,,
557,Treponema_2,0.007500524,0.107150342,Other,IAV,D3,,,
558,Turicibacter,0.006461904,0.09231291,Other,IAV,D3,,,
559,uncultured,0.006662192,0.095174164,Other,IAV,D3,,,
560,uncultured.1,0.024648397,0.352119954,Other,IAV,D3,,,
561,uncultured.2,0.002526741,0.036096297,Other,IAV,D3,,,
562,Veillonella,0.002701925,0.038598928,Other,IAV,D3,,,
563,Veillonellaceae_unclassified,0.024420356,0.348862234,Other,IAV,D3,,,
564,Weeksellaceae_unclassified,0.558223883,7.9746269,Weeksellaceae_unclassified,IAV,D3,,,
565,Weissella,0.025908296,0.370118509,Other,IAV,D3,,,
566,Acinetobacter,0.020925069,0.209250686,Other,Control,D3,,,
567,Actinobacillus,1.410340666,14.10340666,Actinobacillus,Control,D3,,,
568,Actinomyces,0.002525114,0.025251144,Other,Control,D3,,,
569,Aerococcus,0.005932584,0.059325844,Other,Control,D3,,,
570,Agathobacter,0.053975872,0.539758724,Other,Control,D3,,,
571,Alloprevotella,0.037819275,0.378192746,Other,Control,D3,,,
572,Anaerococcus,0.015537424,0.155374244,Other,Control,D3,,,
573,Anaerovibrio,0.005819785,0.058197849,Other,Control,D3,,,
574,Bacteria_unclassified,0.003115985,0.031159852,Other,Control,D3,,,
575,Bacteroidales_unclassified,0.012394377,0.123943775,Other,Control,D3,,,
576,Bacteroides,0.018946619,0.189466192,Other,Control,D3,,,
577,Bergeyella,0.019672419,0.196724193,Other,Control,D3,,,
578,Blautia,0.111090126,1.110901261,Blautia,Control,D3,,,
579,Brachybacterium,0,0,Other,Control,D3,,,
580,Burkholderiaceae_unclassified,0.001756464,0.017564641,Other,Control,D3,,,
581,Carnobacteriaceae_unclassified,0.30438952,3.043895199,Carnobacteriaceae_unclassified,Control,D3,,,
582,Catenibacterium,0.012830502,0.128305022,Other,Control,D3,,,
583,Catenisphaera,0.014243425,0.142434245,Other,Control,D3,,,
584,Christensenellaceae_R-7_group,0.00823674,0.082367397,Other,Control,D3,,,
585,Chryseobacterium,0.005278971,0.052789706,Other,Control,D3,,,
586,Clostridiales_unclassified,0.001737192,0.01737192,Other,Control,D3,,,
587,Clostridiales_vadinBB60_group_ge,0.001594851,0.015948509,Other,Control,D3,,,
588,Clostridium_sensu_stricto_1,0.133956723,1.339567229,Clostridium_sensu_stricto_1,Control,D3,,,
589,Clostridium_sensu_stricto_6,0.009843263,0.098432631,Other,Control,D3,,,
590,Collinsella,0.028771295,0.287712945,Other,Control,D3,,,
591,Coprococcus_1,0.006559983,0.065599827,Other,Control,D3,,,
592,Coprococcus_3,0.016533556,0.165335565,Other,Control,D3,,,
593,Corynebacterium_1,0.000230097,0.002300974,Other,Control,D3,,,
594,Dialister,0.021608069,0.216080691,Other,Control,D3,,,
595,Dorea,0.023592071,0.235920705,Other,Control,D3,,,
596,Eggerthellaceae_unclassified,0.011256248,0.112562476,Other,Control,D3,,,
597,Empedobacter,0.013396072,0.133960717,Other,Control,D3,,,
598,Enhydrobacter,0.002339251,0.023392509,Other,Control,D3,,,
599,Enterobacteriaceae_unclassified,0.0022499,0.022498997,Other,Control,D3,,,
600,Enterococcus,0.011206621,0.112066206,Other,Control,D3,,,
601,Erysipelotrichaceae_unclassified,0.008881462,0.088814618,Other,Control,D3,,,
602,Escherichia-Shigella,0.020294593,0.202945934,Other,Control,D3,,,
603,Faecalibacterium,0.064769828,0.647698282,Other,Control,D3,,,
604,Family_XIII_AD3011_group,0.012442101,0.124421013,Other,Control,D3,,,
605,Family_XIII_ge,0.017182718,0.171827178,Other,Control,D3,,,
606,Fusobacterium,0.033660495,0.336604954,Other,Control,D3,,,
607,Holdemanella,0.009932758,0.099327577,Other,Control,D3,,,
608,Intestinibacter,0.002793784,0.027937836,Other,Control,D3,,,
609,Lachnospiraceae_AC2044_group,0.000594851,0.005948505,Other,Control,D3,,,
610,Lachnospiraceae_ge,0.007864774,0.078647738,Other,Control,D3,,,
611,Lachnospiraceae_NK4A136_group,0.003979448,0.039794485,Other,Control,D3,,,
612,Lachnospiraceae_unclassified,0.024915861,0.249158613,Other,Control,D3,,,
613,Lachnospiraceae_XPB1014_group,0.001469815,0.01469815,Other,Control,D3,,,
614,Lactobacillus,0.072618199,0.726181993,Other,Control,D3,,,
615,Lactococcus,0.034485582,0.344855823,Other,Control,D3,,,
616,Leuconostoc,0.027457207,0.274572073,Other,Control,D3,,,
617,Marvinbryantia,0.007989947,0.079899475,Other,Control,D3,,,
618,Megasphaera,0.053594987,0.535949868,Other,Control,D3,,,
619,Mogibacterium,0.044957735,0.449577346,Other,Control,D3,,,
620,Mollicutes_RF39_ge,0.008893541,0.088935413,Other,Control,D3,,,
621,Moraxella,3.459613965,34.59613965,Moraxella,Control,D3,,,
622,Moraxellaceae_unclassified,0.006766042,0.067660417,Other,Control,D3,,,
623,Muribaculaceae_ge,0.010648981,0.10648981,Other,Control,D3,,,
624,Muribaculaceae_unclassified,0.001514517,0.015145167,Other,Control,D3,,,
625,Neisseriaceae_unclassified,0.413904878,4.139048781,Neisseriaceae_unclassified,Control,D3,,,
626,Olsenella,0.042594336,0.425943361,Other,Control,D3,,,
627,Oscillospira,0.008325107,0.083251074,Other,Control,D3,,,
628,Parabacteroides,0.00453105,0.045310496,Other,Control,D3,,,
629,Parvimonas,0.037257396,0.372573959,Other,Control,D3,,,
630,Pasteurellaceae_unclassified,0.002297824,0.022978241,Other,Control,D3,,,
631,Pediococcus,0.005809323,0.05809323,Other,Control,D3,,,
632,Peptococcus,0.005949032,0.059490316,Other,Control,D3,,,
633,Peptostreptococcus,0.017883832,0.178838316,Other,Control,D3,,,
634,Phascolarctobacterium,0.035077858,0.35077858,Other,Control,D3,,,
635,Porphyromonas,0.018116929,0.181169291,Other,Control,D3,,,
636,Prevotella_1,0.014670938,0.146709379,Other,Control,D3,,,
637,Prevotella_2,0.055082133,0.55082133,Other,Control,D3,,,
638,Prevotella_7,0.001016066,0.010160659,Other,Control,D3,,,
639,Prevotella_9,0.370309517,3.703095168,Prevotella_9,Control,D3,,,
640,Prevotellaceae_NK3B31_group,0.063156014,0.631560142,Other,Control,D3,,,
641,Prevotellaceae_UCG-001,0.001526368,0.015263676,Other,Control,D3,,,
642,Prevotellaceae_UCG-003,0.013372153,0.133721527,Other,Control,D3,,,
643,Prevotellaceae_unclassified,0.025554162,0.255541616,Other,Control,D3,,,
644,Pseudoramibacter,0.007072615,0.070726154,Other,Control,D3,,,
645,Rikenellaceae_RC9_gut_group,0.008649583,0.086495831,Other,Control,D3,,,
646,Romboutsia,0.035692689,0.356926888,Other,Control,D3,,,
647,Roseburia,0.002165204,0.021652036,Other,Control,D3,,,
648,Rothia,0.03192576,0.319257604,Other,Control,D3,,,
649,Ruminiclostridium_5,0.014240634,0.142406336,Other,Control,D3,,,
650,Ruminiclostridium_9,0.011986469,0.119864686,Other,Control,D3,,,
651,Ruminococcaceae_ge,0.01560499,0.156049896,Other,Control,D3,,,
652,Ruminococcaceae_NK4A214_group,0.009011203,0.090112033,Other,Control,D3,,,
653,Ruminococcaceae_UCG-002,0.044503721,0.445037207,Other,Control,D3,,,
654,Ruminococcaceae_UCG-005,0.015365793,0.153657926,Other,Control,D3,,,
655,Ruminococcaceae_UCG-008,0.000127897,0.001278972,Other,Control,D3,,,
656,Ruminococcaceae_UCG-010,0.002964481,0.029644808,Other,Control,D3,,,
657,Ruminococcaceae_UCG-014,0.019038182,0.190381823,Other,Control,D3,,,
658,Ruminococcaceae_unclassified,0.01534243,0.153424304,Other,Control,D3,,,
659,Ruminococcus_1,0.010415455,0.104154552,Other,Control,D3,,,
660,Ruminococcus_2,0.006437956,0.064379561,Other,Control,D3,,,
661,Solobacterium,0.006910207,0.069102069,Other,Control,D3,,,
662,Sphingobacterium,9.23E-05,0.000922542,Other,Control,D3,,,
663,Staphylococcus,0.072598666,0.725986656,Other,Control,D3,,,
664,Streptococcus,0.980603303,9.806033033,Streptococcus,Control,D3,,,
665,Subdoligranulum,0.034045003,0.340450026,Other,Control,D3,,,
666,Succiniclasticum,0.034347365,0.343473646,Other,Control,D3,,,
667,Succinivibrionaceae_unclassified,0.003882292,0.038822924,Other,Control,D3,,,
668,Syntrophococcus,0.006148695,0.061486952,Other,Control,D3,,,
669,Terrisporobacter,0.069511576,0.695115764,Other,Control,D3,,,
670,Treponema_2,0.010548293,0.105482927,Other,Control,D3,,,
671,Turicibacter,0.029547419,0.295474193,Other,Control,D3,,,
672,uncultured,0.05208458,0.520845805,Other,Control,D3,,,
673,uncultured.1,0.04065956,0.406595598,Other,Control,D3,,,
674,uncultured.2,0.003989784,0.03989784,Other,Control,D3,,,
675,Veillonella,0.00675976,0.067597596,Other,Control,D3,,,
676,Veillonellaceae_unclassified,0.038802846,0.388028455,Other,Control,D3,,,
677,Weeksellaceae_unclassified,0.732452162,7.324521617,Weeksellaceae_unclassified,Control,D3,,,
678,Weissella,0.070821989,0.708219888,Other,Control,D3,,,
679,Acinetobacter,0.003413332,0.048761888,Other,IAV,D7,,,
680,Actinobacillus,1.742005921,24.88579887,Actinobacillus,IAV,D7,,,
681,Actinomyces,0.001694454,0.024206481,Other,IAV,D7,,,
682,Aerococcus,0.000117562,0.001679457,Other,IAV,D7,,,
683,Agathobacter,0.001864068,0.026629542,Other,IAV,D7,,,
684,Alloprevotella,0.002962308,0.042318688,Other,IAV,D7,,,
685,Anaerococcus,0.007257696,0.103681366,Other,IAV,D7,,,
686,Anaerovibrio,0.000589899,0.008427122,Other,IAV,D7,,,
687,Bacteria_unclassified,0.000146675,0.00209536,Other,IAV,D7,,,
688,Bacteroidales_unclassified,0.007984819,0.114068846,Other,IAV,D7,,,
689,Bacteroides,0.002447386,0.03496266,Other,IAV,D7,,,
690,Bergeyella,0.004718242,0.067403462,Other,IAV,D7,,,
691,Blautia,0.008662428,0.123748975,Other,IAV,D7,,,
692,Brachybacterium,0,0,Other,IAV,D7,,,
693,Burkholderiaceae_unclassified,0.001793753,0.025625049,Other,IAV,D7,,,
694,Carnobacteriaceae_unclassified,0.190302313,2.718604478,Carnobacteriaceae_unclassified,IAV,D7,,,
695,Catenibacterium,0.001067346,0.015247804,Other,IAV,D7,,,
696,Catenisphaera,0.000689119,0.009844555,Other,IAV,D7,,,
697,Christensenellaceae_R-7_group,0.000748478,0.010692538,Other,IAV,D7,,,
698,Chryseobacterium,0.012698006,0.18140008,Other,IAV,D7,,,
699,Clostridiales_unclassified,0.000353389,0.005048415,Other,IAV,D7,,,
700,Clostridiales_vadinBB60_group_ge,6.58E-05,0.000940395,Other,IAV,D7,,,
701,Clostridium_sensu_stricto_1,0.010101731,0.144310439,Other,IAV,D7,,,
702,Clostridium_sensu_stricto_6,0.002606746,0.037239225,Other,IAV,D7,,,
703,Collinsella,0.005696533,0.081379041,Other,IAV,D7,,,
704,Coprococcus_1,0.000975388,0.013934119,Other,IAV,D7,,,
705,Coprococcus_3,0.000787121,0.01124459,Other,IAV,D7,,,
706,Corynebacterium_1,0.000513258,0.007332257,Other,IAV,D7,,,
707,Dialister,0.000134005,0.001914355,Other,IAV,D7,,,
708,Dorea,0.00079159,0.011308432,Other,IAV,D7,,,
709,Eggerthellaceae_unclassified,0.001240073,0.01771533,Other,IAV,D7,,,
710,Empedobacter,0.000103152,0.001473602,Other,IAV,D7,,,
711,Enhydrobacter,0.00583386,0.083340856,Other,IAV,D7,,,
712,Enterobacteriaceae_unclassified,0.001281414,0.018305917,Other,IAV,D7,,,
713,Enterococcus,0.001187354,0.0169622,Other,IAV,D7,,,
714,Erysipelotrichaceae_unclassified,0.000985598,0.014079978,Other,IAV,D7,,,
715,Escherichia-Shigella,0.005440439,0.077720551,Other,IAV,D7,,,
716,Faecalibacterium,0.001874324,0.026776059,Other,IAV,D7,,,
717,Family_XIII_AD3011_group,0.001271255,0.018160779,Other,IAV,D7,,,
718,Family_XIII_ge,0.000451392,0.006448464,Other,IAV,D7,,,
719,Fusobacterium,0.005209724,0.07442463,Other,IAV,D7,,,
720,Holdemanella,0.000882681,0.012609733,Other,IAV,D7,,,
721,Intestinibacter,0.000921187,0.01315982,Other,IAV,D7,,,
722,Lachnospiraceae_AC2044_group,4.01E-05,0.000573125,Other,IAV,D7,,,
723,Lachnospiraceae_ge,0.002148481,0.030692582,Other,IAV,D7,,,
724,Lachnospiraceae_NK4A136_group,0.000577406,0.008248651,Other,IAV,D7,,,
725,Lachnospiraceae_unclassified,0.003379065,0.048272354,Other,IAV,D7,,,
726,Lachnospiraceae_XPB1014_group,0,0,Other,IAV,D7,,,
727,Lactobacillus,0.012260168,0.175145263,Other,IAV,D7,,,
728,Lactococcus,0.00619567,0.088509566,Other,IAV,D7,,,
729,Leuconostoc,0.00016559,0.00236557,Other,IAV,D7,,,
730,Marvinbryantia,0.000519473,0.007421039,Other,IAV,D7,,,
731,Megasphaera,0.004083651,0.058337868,Other,IAV,D7,,,
732,Mogibacterium,0.003933024,0.056186055,Other,IAV,D7,,,
733,Mollicutes_RF39_ge,0.000817758,0.011682263,Other,IAV,D7,,,
734,Moraxella,2.670920101,38.15600144,Moraxella,IAV,D7,,,
735,Moraxellaceae_unclassified,0.002001615,0.028594494,Other,IAV,D7,,,
736,Muribaculaceae_ge,0.00081706,0.01167228,Other,IAV,D7,,,
737,Muribaculaceae_unclassified,7.71E-05,0.001101811,Other,IAV,D7,,,
738,Neisseriaceae_unclassified,0.387194941,5.531356295,Neisseriaceae_unclassified,IAV,D7,,,
739,Olsenella,0.003221713,0.046024472,Other,IAV,D7,,,
740,Oscillospira,0.000407272,0.005818173,Other,IAV,D7,,,
741,Parabacteroides,0.000248148,0.003544972,Other,IAV,D7,,,
742,Parvimonas,0.001736175,0.024802496,Other,IAV,D7,,,
