"","pairs","F.Model","R2","p.value","p.adjusted","sig","p.adjusted2"
"9","D0 IAV vs D0 Control",1.70163054890806,0.101884097120045,0.119,0.165375,"",NA
"26","D1 IAV vs D1 Control",1.70793776558175,0.102223134269753,0.147,0.165375,"",NA
"84","D3 IAV vs D3 Control",1.77200999461889,0.105652810556839,0.136,0.165375,"",NA
"117","D7 IAV vs D7 Control",1.62348669961912,0.0976622250767833,0.145,0.165375,"",NA
"42","D10 IAV vs D10 Control",1.44045306806647,0.0876163851508671,0.198,0.198,"",NA
"57","D14 IAV vs D14 Control",4.39519040420603,0.226612387535669,0.002,0.018,"",0.018
"71","D21 IAV vs D21 Control",2.96491757941885,0.165039308770086,0.006,0.027,"",0.027
"96","D36 IAV vs D36 Control",2.61340919835668,0.148376113274,0.048,0.144,"",NA
"107","D42 IAV vs D42 Control",1.90319658547699,0.11259388576905,0.081,0.165375,"",NA
