Sample,Pig,Tissue,Day,Treatment
SRD129_P170_N_D0,170,N,D0,Control
SRD129_P170_N_D1,170,N,D1,Control
SRD129_P170_N_D10,170,N,D10,Control
SRD129_P170_N_D14,170,N,D14,Control
SRD129_P170_N_D21,170,N,D21,Control
SRD129_P170_N_D3,170,N,D3,Control
SRD129_P170_N_D36,170,N,D36,Control
SRD129_P170_N_D42,170,N,D42,Control
SRD129_P170_N_D7,170,N,D7,Control
SRD129_P171_N_D0,171,N,D0,Control
SRD129_P171_N_D1,171,N,D1,Control
SRD129_P171_N_D10,171,N,D10,Control
SRD129_P171_N_D14,171,N,D14,Control
SRD129_P171_N_D21,171,N,D21,Control
SRD129_P171_N_D3,171,N,D3,Control
SRD129_P171_N_D36,171,N,D36,Control
SRD129_P171_N_D42,171,N,D42,Control
SRD129_P171_N_D7,171,N,D7,Control
