Group,SRD129_P152_N_D0,SRD129_P152_N_D1,SRD129_P152_N_D10,SRD129_P152_N_D14,SRD129_P152_N_D21,SRD129_P152_N_D3,SRD129_P152_N_D36,SRD129_P152_N_D42,SRD129_P152_N_D7,SRD129_P153_N_D0,SRD129_P153_N_D1,SRD129_P153_N_D10,SRD129_P153_N_D14,SRD129_P153_N_D21,SRD129_P153_N_D3,SRD129_P153_N_D36,SRD129_P153_N_D42,SRD129_P153_N_D7,SRD129_P154_N_D0,SRD129_P154_N_D1,SRD129_P154_N_D10,SRD129_P154_N_D14,SRD129_P154_N_D21,SRD129_P154_N_D3,SRD129_P154_N_D36,SRD129_P154_N_D42,SRD129_P154_N_D7,SRD129_P156_N_D0,SRD129_P156_N_D1,SRD129_P156_N_D10,SRD129_P156_N_D14,SRD129_P156_N_D21,SRD129_P156_N_D3,SRD129_P156_N_D36,SRD129_P156_N_D42,SRD129_P156_N_D7,SRD129_P157_N_D0,SRD129_P157_N_D1,SRD129_P157_N_D10,SRD129_P157_N_D14,SRD129_P157_N_D21,SRD129_P157_N_D3,SRD129_P157_N_D36,SRD129_P157_N_D42,SRD129_P157_N_D7,SRD129_P159_N_D0,SRD129_P159_N_D1,SRD129_P159_N_D10,SRD129_P159_N_D14,SRD129_P159_N_D21,SRD129_P159_N_D3,SRD129_P159_N_D36,SRD129_P159_N_D42,SRD129_P159_N_D7,SRD129_P160_N_D0,SRD129_P160_N_D1,SRD129_P160_N_D10,SRD129_P160_N_D14,SRD129_P160_N_D21,SRD129_P160_N_D3,SRD129_P160_N_D36,SRD129_P160_N_D42,SRD129_P160_N_D7,SRD129_P162_N_D0,SRD129_P162_N_D1,SRD129_P162_N_D10,SRD129_P162_N_D14,SRD129_P162_N_D21,SRD129_P162_N_D3,SRD129_P162_N_D36,SRD129_P162_N_D42,SRD129_P162_N_D7,SRD129_P163_N_D0,SRD129_P163_N_D1,SRD129_P163_N_D10,SRD129_P163_N_D14,SRD129_P163_N_D21,SRD129_P163_N_D3,SRD129_P163_N_D36,SRD129_P163_N_D42,SRD129_P163_N_D7,SRD129_P164_N_D0,SRD129_P164_N_D1,SRD129_P164_N_D10,SRD129_P164_N_D14,SRD129_P164_N_D21,SRD129_P164_N_D3,SRD129_P164_N_D36,SRD129_P164_N_D42,SRD129_P164_N_D7,SRD129_P165_N_D0,SRD129_P165_N_D1,SRD129_P165_N_D10,SRD129_P165_N_D14,SRD129_P165_N_D21,SRD129_P165_N_D3,SRD129_P165_N_D36,SRD129_P165_N_D42,SRD129_P165_N_D7,SRD129_P166_N_D0,SRD129_P166_N_D1,SRD129_P166_N_D10,SRD129_P166_N_D14,SRD129_P166_N_D21,SRD129_P166_N_D3,SRD129_P166_N_D36,SRD129_P166_N_D42,SRD129_P166_N_D7,SRD129_P167_N_D0,SRD129_P167_N_D1,SRD129_P167_N_D10,SRD129_P167_N_D14,SRD129_P167_N_D21,SRD129_P167_N_D3,SRD129_P167_N_D36,SRD129_P167_N_D42,SRD129_P167_N_D7,SRD129_P168_N_D0,SRD129_P168_N_D1,SRD129_P168_N_D10,SRD129_P168_N_D14,SRD129_P168_N_D21,SRD129_P168_N_D3,SRD129_P168_N_D36,SRD129_P168_N_D42,SRD129_P168_N_D7,SRD129_P169_N_D0,SRD129_P169_N_D1,SRD129_P169_N_D10,SRD129_P169_N_D14,SRD129_P169_N_D21,SRD129_P169_N_D3,SRD129_P169_N_D36,SRD129_P169_N_D42,SRD129_P169_N_D7,SRD129_P170_N_D0,SRD129_P170_N_D1,SRD129_P170_N_D10,SRD129_P170_N_D14,SRD129_P170_N_D21,SRD129_P170_N_D3,SRD129_P170_N_D36,SRD129_P170_N_D42,SRD129_P170_N_D7,SRD129_P171_N_D0,SRD129_P171_N_D1,SRD129_P171_N_D10,SRD129_P171_N_D14,SRD129_P171_N_D21,SRD129_P171_N_D3,SRD129_P171_N_D36,SRD129_P171_N_D42,SRD129_P171_N_D7
Otu0251,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,21,37,0,0,1,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Otu0252,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,2,1,4,0,1,1,0,1,2,0,0,0,0,0,0,0,0,2,1,4,1,0,1,0,1,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,2,0,1,1,0,0,1,2,0,2,0,0,0,1,1,2,2,0,3,0,0,0,0,1,1,2,0,6,0
Otu0253,2,0,0,1,0,0,2,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,12,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,3,0
Otu0254,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,1,0,0,5,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,1,6,0,0,1,0,0,3,0,0,0
Otu0255,0,0,1,0,0,0,2,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,4,12,0,0,0,0,0,0,1,1,1,0,8,0,0,0,2,0,1,0,0,2,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,0,0,1,0,1,0,0,1,11,0
Otu0256,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,2,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,4,11,0
Otu0257,0,0,1,3,0,0,1,4,0,0,0,0,0,0,0,2,1,0,0,0,1,2,2,0,2,4,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,1,3,3,0,0,0,0,1,0,0,2,1,0,0,0,1,4,0,0,8,11,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,2,2,1,2,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,3,0
Otu0258,0,0,1,1,0,0,0,0,0,2,0,1,0,2,1,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,1,1,1,0,0,1,1,3,0,2,0,0,0,0,0,1,3,0,2,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,1,2,0,2,0,0,0,1,0,0,0,1,6,0,0,0
Otu0259,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,18,0
Otu0260,0,0,0,0,2,0,3,0,0,1,0,1,1,2,0,1,0,0,0,0,1,0,3,0,2,1,0,0,2,0,1,2,0,1,0,0,0,0,0,2,1,0,8,0,1,0,0,1,4,3,0,1,0,0,0,0,0,0,6,0,5,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
